id_kelas,nama_kelas,id_waktu,nama_mapel,id_guru,id_ruang,fitness
14,IX A,2,IPS,33,25,0.0017152658662092624
14,IX A,3,Bahasa Inggris,12,25,0.0017152658662092624
14,IX A,3,PAI,32,25,0.0017152658662092624
14,IX A,3,PJOK,2,2,0.0017152658662092624
14,IX A,6,IPS,33,25,0.0017152658662092624
14,IX A,7,Bahasa Indonesia,30,25,0.0017152658662092624
14,IX A,8,PAI,32,25,0.0017152658662092624
14,IX A,10,PAI,32,25,0.0017152658662092624
14,IX A,11,Bahasa Indonesia,30,25,0.0017152658662092624
14,IX A,11,IPA,25,25,0.0017152658662092624
14,IX A,12,IPA,25,25,0.0017152658662092624
14,IX A,12,IPS,33,25,0.0017152658662092624
14,IX A,13,Bahasa Indonesia,30,25,0.0017152658662092624
14,IX A,14,Pendidikan Pancasila,34,25,0.0017152658662092624
14,IX A,15,Informatika,7,25,0.0017152658662092624
14,IX A,16,Matematika,31,25,0.0017152658662092624
14,IX A,18,Matematika,31,25,0.0017152658662092624
14,IX A,18,Informatika,7,25,0.0017152658662092624
14,IX A,22,Seni Budaya dan Prakarya,15,25,0.0017152658662092624
14,IX A,23,Seni Budaya dan Prakarya,15,25,0.0017152658662092624
14,IX A,27,Matematika,31,25,0.0017152658662092624
14,IX A,27,Bahasa Indonesia,30,25,0.0017152658662092624
14,IX A,27,Bahasa Inggris,12,25,0.0017152658662092624
14,IX A,28,IPA,25,25,0.0017152658662092624
14,IX A,30,IPA,25,25,0.0017152658662092624
14,IX A,30,Bahasa Inggris,12,25,0.0017152658662092624
14,IX A,32,Bahasa Indonesia,30,25,0.0017152658662092624
14,IX A,34,IPA,25,25,0.0017152658662092624
14,IX A,35,Informatika,7,25,0.0017152658662092624
14,IX A,37,Bahasa Indonesia,30,25,0.0017152658662092624
14,IX A,37,Pendidikan Pancasila,34,25,0.0017152658662092624
14,IX A,40,Matematika,31,25,0.0017152658662092624
14,IX A,40,Bahasa Inggris,12,25,0.0017152658662092624
14,IX A,42,Matematika,31,25,0.0017152658662092624
14,IX A,43,PJOK,2,6,0.0017152658662092624
14,IX A,46,PJOK,2,3,0.0017152658662092624
14,IX A,47,IPS,33,25,0.0017152658662092624
14,IX A,50,Seni Budaya dan Prakarya,15,25,0.0017152658662092624
14,IX A,51,Pendidikan Pancasila,34,25,0.0017152658662092624
15,IX B,2,Matematika,31,26,0.0017152658662092624
15,IX B,7,Seni Budaya dan Prakarya,15,26,0.0017152658662092624
15,IX B,8,Pendidikan Pancasila,34,26,0.0017152658662092624
15,IX B,10,Bahasa Indonesia,30,26,0.0017152658662092624
15,IX B,10,Bahasa Inggris,12,26,0.0017152658662092624
15,IX B,11,Bahasa Indonesia,30,26,0.0017152658662092624
15,IX B,13,Informatika,7,26,0.0017152658662092624
