id_kelas,nama_kelas,id_waktu,nama_mapel,id_guru,id_ruang,fitness
14,IX A,3,Pendidikan Pancasila,34,25,0.001589825119236884
14,IX A,4,Bahasa Indonesia,30,25,0.001589825119236884
14,IX A,4,Informatika,7,25,0.001589825119236884
14,IX A,6,PAI,32,25,0.001589825119236884
14,IX A,6,PJOK,2,3,0.001589825119236884
14,IX A,7,PJOK,2,3,0.001589825119236884
14,IX A,10,Informatika,7,25,0.001589825119236884
14,IX A,11,Bahasa Inggris,12,25,0.001589825119236884
14,IX A,11,Seni Budaya dan Prakarya,15,25,0.001589825119236884
14,IX A,12,Seni Budaya dan Prakarya,15,25,0.001589825119236884
14,IX A,13,PJOK,2,6,0.001589825119236884
14,IX A,14,Matematika,31,25,0.001589825119236884
14,IX A,15,IPA,25,25,0.001589825119236884
14,IX A,15,IPS,33,25,0.001589825119236884
14,IX A,18,Bahasa Indonesia,30,25,0.001589825119236884
14,IX A,19,Bahasa Indonesia,30,25,0.001589825119236884
14,IX A,19,Seni Budaya dan Prakarya,15,25,0.001589825119236884
14,IX A,20,Pendidikan Pancasila,34,25,0.001589825119236884
14,IX A,22,Bahasa Indonesia,30,25,0.001589825119236884
14,IX A,22,IPA,25,25,0.001589825119236884
14,IX A,22,IPS,33,25,0.001589825119236884
14,IX A,26,Matematika,31,25,0.001589825119236884
14,IX A,31,Pendidikan Pancasila,34,25,0.001589825119236884
14,IX A,34,PAI,32,25,0.001589825119236884
14,IX A,35,IPA,25,25,0.001589825119236884
14,IX A,35,PAI,32,25,0.001589825119236884
14,IX A,38,Bahasa Indonesia,30,25,0.001589825119236884
14,IX A,39,Bahasa Inggris,12,25,0.001589825119236884
14,IX A,40,Bahasa Indonesia,30,25,0.001589825119236884
14,IX A,43,IPA,25,25,0.001589825119236884
14,IX A,43,IPA,25,25,0.001589825119236884
14,IX A,43,IPS,33,25,0.001589825119236884
14,IX A,44,Matematika,31,25,0.001589825119236884
14,IX A,46,Matematika,31,25,0.001589825119236884
14,IX A,46,Informatika,7,25,0.001589825119236884
14,IX A,47,IPS,33,25,0.001589825119236884
14,IX A,50,Bahasa Inggris,12,25,0.001589825119236884
14,IX A,54,Matematika,31,25,0.001589825119236884
14,IX A,54,Bahasa Inggris,12,25,0.001589825119236884
15,IX B,2,Bahasa Inggris,12,26,0.001589825119236884
15,IX B,2,PJOK,2,2,0.001589825119236884
15,IX B,4,Bahasa Indonesia,30,26,0.001589825119236884
15,IX B,6,Matematika,31,26,0.001589825119236884
15,IX B,6,Matematika,31,26,0.001589825119236884
15,IX B,6,IPA,25,26,0.001589825119236884
15,IX B,10,Pendidikan Pancasila,34,26,0.001589825119236884
15,IX B,12,IPS,33,26,0.001589825119236884
15,IX B,12,IPS,33,26,0.001589825119236884
15,IX B,13,Seni Budaya dan Prakarya,15,26,0.001589825119236884
15,IX B,18,PAI,32,26,0.001589825119236884
15,IX B,18,Informatika,7,26,0.001589825119236884
15,IX B,19,Matematika,31,26,0.001589825119236884
15,IX B,20,IPA,25,26,0.001589825119236884
15,IX B,22,IPA,25,26,0.001589825119236884
15,IX B,23,IPA,25,26,0.001589825119236884
15,IX B,25,Seni Budaya dan Prakarya,15,26,0.001589825119236884
15,IX B,26,IPS,33,26,0.001589825119236884
15,IX B,26,Bahasa Inggris,12,26,0.001589825119236884
15,IX B,28,Pendidikan Pancasila,34,26,0.001589825119236884
15,IX B,31,Bahasa Inggris,12,26,0.001589825119236884
15,IX B,31,Seni Budaya dan Prakarya,15,26,0.001589825119236884
15,IX B,31,Informatika,7,26,0.001589825119236884
15,IX B,32,PAI,32,26,0.001589825119236884
15,IX B,35,Matematika,31,26,0.001589825119236884
